price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6572677,8270,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
3635169,1860,1,3,2,yes,yes,no,no,no,3,no,unfurnished
6942238,6390,6,5,3,no,no,yes,no,no,1,no,semi-furnished
10324978,14418,3,3,4,yes,no,yes,no,yes,3,no,semi-furnished
6804167,6191,6,5,1,no,no,yes,no,no,0,yes,semi-furnished
9000269,12964,2,2,3,yes,no,yes,no,yes,2,no,semi-furnished
9303251,12284,4,5,1,yes,no,no,yes,yes,2,no,furnished
7644147,6734,5,4,3,yes,no,yes,no,yes,1,no,furnished
7342224,7265,3,1,1,yes,yes,no,yes,yes,3,no,semi-furnished
5932180,1466,2,5,4,yes,no,no,no,yes,3,yes,furnished
9511854,14526,1,3,2,yes,no,yes,no,yes,1,no,unfurnished
6317877,5426,5,3,2,yes,no,no,no,no,2,no,furnished
6973121,6578,6,5,2,yes,no,yes,no,no,0,no,furnished
7093831,12636,1,4,1,yes,no,no,no,no,0,no,unfurnished
9701900,12363,2,5,3,no,no,no,no,no,1,yes,furnished
8800519,12111,2,2,4,yes,yes,no,no,yes,1,no,unfurnished
8272265,9322,6,4,4,no,no,no,yes,no,1,no,semi-furnished
5283038,2685,3,5,1,yes,no,yes,no,yes,3,no,semi-furnished
5587151,1769,6,1,2,yes,no,no,no,yes,2,yes,unfurnished
10259117,11583,4,4,1,no,yes,yes,no,yes,2,no,semi-furnished
9122717,14803,1,5,3,yes,no,no,no,no,1,no,furnished
5944441,7949,3,1,2,yes,no,no,no,no,0,no,semi-furnished
6158793,3433,5,5,1,no,no,yes,no,yes,3,yes,semi-furnished
7242975,6311,4,2,3,yes,yes,no,no,yes,1,yes,furnished
4638476,6051,3,3,2,no,no,no,no,no,3,no,unfurnished
6590585,7420,1,5,4,yes,no,yes,no,no,1,no,semi-furnished
3882071,2184,2,4,3,yes,no,no,no,no,3,no,furnished
7511642,5555,5,5,4,no,yes,no,no,yes,0,no,furnished
6671139,4385,6,5,3,yes,no,yes,no,yes,0,no,semi-furnished
9221829,13309,1,5,2,yes,no,yes,no,yes,0,no,semi-furnished
7446850,7396,4,5,1,yes,no,no,no,yes,0,no,semi-furnished
10272108,14035,4,4,1,yes,no,yes,no,no,2,no,semi-furnished
8720097,12096,2,4,1,yes,no,no,yes,no,2,no,unfurnished
7790914,9666,2,5,1,no,no,no,no,yes,3,no,furnished
9243104,10274,5,3,3,no,no,yes,yes,yes,1,yes,furnished
6404166,3558,6,5,1,yes,no,yes,no,yes,2,no,unfurnished
8086199,8849,5,4,1,no,yes,yes,no,no,1,yes,unfurnished
4494520,3047,2,2,3,yes,no,no,no,yes,3,no,furnished
4726444,3747,2,5,3,yes,yes,no,no,no,1,no,semi-furnished
9080711,10167,4,5,2,yes,yes,yes,no,no,0,yes,semi-furnished
8087529,10998,2,5,3,yes,no,no,no,no,0,no,unfurnished
4928958,1189,3,5,4,yes,no,yes,no,yes,2,yes,semi-furnished
2718690,3734,1,1,2,yes,no,no,no,no,3,no,furnished
3294431,4005,2,5,2,no,no,no,no,no,2,no,furnished
5367741,5658,5,4,1,yes,no,no,no,no,2,no,furnished
4949003,2899,6,4,1,yes,no,no,yes,no,2,no,semi-furnished
8501402,8734,6,1,4,yes,yes,no,no,yes,3,no,semi-furnished
4151459,2267,6,5,1,no,no,yes,no,no,0,no,furnished
4031279,2528,3,3,3,yes,no,no,yes,no,0,yes,semi-furnished
9576861,12394,5,5,3,yes,yes,no,no,no,2,no,unfurnished
5711492,4556,3,4,1,yes,no,yes,no,yes,1,no,furnished
4142173,4890,2,2,1,no,no,yes,no,yes,0,no,unfurnished
6405913,9838,1,2,3,yes,no,no,no,no,0,no,unfurnished
9615366,12080,6,3,2,yes,no,no,no,yes,3,no,unfurnished
8502385,6393,5,5,4,yes,yes,yes,no,yes,0,yes,unfurnished
9447369,11627,6,1,4,yes,no,yes,no,yes,0,no,furnished
8795410,9792,3,5,2,no,no,yes,no,yes,2,yes,semi-furnished
9961616,11555,4,3,4,yes,no,no,no,no,2,yes,semi-furnished
9280411,11253,2,3,1,yes,no,yes,no,yes,3,yes,furnished
7651853,9433,1,3,1,yes,yes,no,no,no,3,no,furnished
6553852,11233,2,2,1,no,no,no,no,yes,1,no,unfurnished
9032321,12016,4,5,4,yes,yes,no,no,no,0,no,unfurnished
6331017,8513,1,5,2,yes,no,no,no,no,2,no,semi-furnished
5876077,3612,4,1,1,yes,yes,no,no,yes,2,yes,unfurnished
6496918,8041,2,3,2,yes,no,yes,no,no,0,yes,unfurnished
9577927,10555,3,3,3,yes,no,no,no,yes,3,yes,semi-furnished
6596429,7235,2,4,3,yes,no,yes,no,no,2,yes,unfurnished
5960242,6486,2,4,3,yes,no,no,no,yes,3,no,semi-furnished
7427802,8099,2,2,4,yes,no,no,yes,yes,2,yes,unfurnished
10126515,10670,5,5,4,yes,no,no,no,no,2,no,semi-furnished
8716309,11748,4,1,1,yes,yes,no,no,yes,1,no,unfurnished
4904404,1775,4,1,3,yes,no,yes,no,no,2,yes,semi-furnished
8804893,13206,6,3,2,no,no,yes,no,no,0,no,semi-furnished
7514225,9226,4,1,4,yes,no,yes,no,yes,0,no,furnished
6550076,4152,6,3,2,yes,no,no,no,yes,0,yes,semi-furnished
8595079,11147,5,5,2,yes,no,yes,no,no,3,no,unfurnished
3739178,2585,3,1,1,no,no,no,no,yes,2,yes,unfurnished
7414635,4943,6,3,1,yes,no,yes,no,yes,3,no,unfurnished
7812362,8555,2,5,2,yes,no,no,no,yes,1,no,furnished
7058107,4073,3,5,2,yes,no,yes,no,yes,2,no,unfurnished
3905832,2021,5,3,2,yes,no,no,no,no,0,no,furnished
